,repo_name,repo_owner,git_url,description,size,watchers_count,forks_count,open_issues
0,fortran-machine,mapmeld,https://github.com/mapmeld/fortran-machine,Finally a Fortran MVC web platform,1398,644,30,0
1,functional-fortran,wavebitscientific,https://github.com/wavebitscientific/functional-fortran,Functional programming for modern Fortran,107,276,22,2
2,Cmathtuts,Foadsf,https://github.com/Foadsf/Cmathtuts,"trying to collect all useful tutorials for famous C math and algebra libraries such as CBLAS, CLAPACK, GSL...",3863,215,28,3
3,json-fortran,jacobwilliams,https://github.com/jacobwilliams/json-fortran,A Fortran 2008 JSON API,107323,189,46,19
4,fortran2018-examples,scivision,https://github.com/scivision/fortran2018-examples,"Easy examples of scientific computing with modern, powerful, easy Fortran 2018 standard",1537,181,26,0
5,gtk-fortran,vmagnin,https://github.com/vmagnin/gtk-fortran,A GTK / Fortran binding,12748,153,34,21
6,wartonlegacy,daoudclarke,https://github.com/daoudclarke/wartonlegacy,Algorithms for factorisation of large numbers in Fortran and UBASIC,165024,150,9,1
7,xtb,grimme-lab,https://github.com/grimme-lab/xtb,Semiempirical Extended Tight-Binding Program Package,2251,132,33,20
8,fortran-utils,certik,https://github.com/certik/fortran-utils,Various utilities for Fortran programs,202,126,47,2
9,OpenCoarrays,sourceryinstitute,https://github.com/sourceryinstitute/OpenCoarrays,A parallel application binary interface for Fortran 2018 compilers. ,8436,124,37,27
10,neural-fortran,modern-fortran,https://github.com/modern-fortran/neural-fortran,A parallel neural net microframework,20197,116,24,10
11,Castro,AMReX-Astro,https://github.com/AMReX-Astro/Castro,"An adaptive mesh, astrophysical radiation hydrodynamics simulation code",87916,108,40,83
12,abinit,abinit,https://github.com/abinit/abinit,"The official github mirror of the Abinit repository. We welcome bug fixes and improvements. Note that most of the active developments are hosted on our https://gitlab.abinit.org/ server.  Before embarking on making significant changes, please contact the Abinit group.",157906,102,43,11
13,stdlib,fortran-lang,https://github.com/fortran-lang/stdlib,Fortran Standard Library,261,97,19,77
14,climlab,brian-rose,https://github.com/brian-rose/climlab,Python package for process-oriented climate modeling,59663,97,38,22
15,WRFV3,NCAR,https://github.com/NCAR/WRFV3,This is the release repository for the Weather Research and Forecasting Model,117925,91,42,3
16,FLAP,szaghi,https://github.com/szaghi/FLAP,Fortran command Line Arguments Parser for poor people,14357,89,29,17
17,bspline-fortran,jacobwilliams,https://github.com/jacobwilliams/bspline-fortran,Multidimensional B-Spline Interpolation of Data on a Regular Grid,11906,87,26,6
18,forpy,ylikx,https://github.com/ylikx/forpy,Forpy - use Python from Fortran,1362,85,19,7
19,odespy,hplgit,https://github.com/hplgit/odespy,Easy access in Python to a large collection of ODE solvers ,12427,81,38,10
20,FOODIE,Fortran-FOSS-Programmers,https://github.com/Fortran-FOSS-Programmers/FOODIE,"Fortran Object-Oriented Differential-equations Integration Environment, FOODIE",79999,79,25,14
21,OFF,szaghi,https://github.com/szaghi/OFF,"OFF, Open source Finite volume Fluid dynamics code",46049,77,46,7
22,VTKFortran,szaghi,https://github.com/szaghi/VTKFortran,pure Fortran VTK (XML) API,15924,77,28,10
23,datetime-fortran,wavebitscientific,https://github.com/wavebitscientific/datetime-fortran,Date and time manipulation for modern Fortran,248,75,32,14
24,Fortran-Astrodynamics-Toolkit,jacobwilliams,https://github.com/jacobwilliams/Fortran-Astrodynamics-Toolkit,A Modern Fortran Library for Astrodynamics 🚀,1714,73,28,2
25,opencalphad,sundmanbo,https://github.com/sundmanbo/opencalphad,"Open Calphad, thermodynamic calculation code",101870,70,41,0
26,node-fortran,IonicaBizau,https://github.com/IonicaBizau/node-fortran,:skull: Fortran bridge for Node.js which allows you to run Fortran code from Node.js.,26,70,7,1
27,ogpf,kookma,https://github.com/kookma/ogpf,"ogpf is Object based interface to GnuPlot from Fortran 2003, 2008 and later",3783,68,18,3
28,pyplot-fortran,jacobwilliams,https://github.com/jacobwilliams/pyplot-fortran,For generating plots from Fortran using Python's matplotlib.pyplot 📈,1302,68,28,2
29,starlink,Starlink,https://github.com/Starlink/starlink,Starlink Software Collection,853339,67,24,19
